"COPPA (Scope)","Applies to online services intended for, or knowingly collecting data from, children under 13."
"COPPA (2025 Update)","Personal Information now explicitly includes **government-issued identifiers** and **biometric identifiers**."
"COPPA Internal Procedures (2025)","Requires annual security assessments and designating an **oversight employee**."
"Verifiable Parental Consent (VPC) - 7 Methods","1. Signed form (fax/scan).<br>2. Credit/Debit card transaction.<br>3. Toll-free support call.<br>4. Video conference.<br>5. KBA (Knowledge-Based Auth).<br>6. Gov ID verification (check & delete).<br>7. Facial Recognition (live match)."
"COPPA Safe Harbor","Programs allowing companies to demonstrate compliance via self-regulation (e.g., kidSAFE, ESRB, TrustArc)."
"California Minors 'Eraser' Law","Right for minors (<18) to remove info they posted online."
"Delaware DOPPA (Teens)","Restricts marketing adult products (alcohol, firearms) to children; offers removal rights similar to CA."
"New York Child Data Protection Act (2025)","Prohibits processing personal data of those aged 13â€“18 without informed consent."
"CCPA Opt-In (Minors)","**13-16:** Opt-In required for sale/share.<br>**Under 13:** Parental consent required (COPPA standard)."
"Fair Credit Reporting Act (FCRA)","1970 law regulating Consumer Reporting Agencies (CRAs), Users, and Furnishers of credit data."
"FCRA 'Consumer Report' Definition","Communication by a CRA bearing on creditworthiness, character, or reputation, used for a permissible purpose."
"Investigative Consumer Report","Consumer report based on personal interviews (neighbors/friends). User must notify consumer within 3 days."
"FCRA Obsolescence Rules","Negative info: 7 years.<br>Bankruptcies: 10 years.<br>Exceptions: High-value transactions (Credit >$150k, Job >$75k)."
"FACTA 'Vail Letter' Overturn","Clarified that employer misconduct investigations are NOT consumer reports (no prior notice required)."
"FACTA Disposal Rule","Requires 'reasonable measures' to destroy consumer information (burn, shred, erase) to prevent unauthorized access."
"Red Flags Rule","Requires financial institutions/creditors to have a written Identity Theft Prevention Program (Identify, Detect, Prevent, Update)."
"GLBA Privacy Rule (Notice)","**Initial Notice:** At relationship start.<br>**Annual Notice:** Yearly (unless no sharing & no changes).<br>**Opt-Out:** Required for sharing NPI with non-affiliated third parties."
"GLBA Safeguards Rule (Qualified Individual)","Must designate a **single** individual to oversee the security program."
"GLBA Safeguards Rule (Testing)","Requires either continuous monitoring OR annual penetration testing + bi-annual vulnerability assessments."
"GLBA Safeguards Rule (Encryption)","Mandatory for NPI at rest and in transit."
